NCT Number,Study Title,Study URL,Study Status,Brief Summary,Conditions,Interventions,Sponsor,Collaborators,Funder Type,Study Type,Locations
NCT02295748,"An Open-Label, Long-Term Extension Study to Evaluate the Safety and Tolerability Deflazacort",https://clinicaltrials.gov/study/NCT02295748,COMPLETED,"This is an open label, long-term extension study in approximately 24 male DMD subjects consisting of children (ages 4-12, inclusive) and adolescents (ages 13-16, inclusive) who participated in the MP-104-CL-005 PK study.",Duchenne Muscular Dystrophy,DRUG: Deflazacort,PTC Therapeutics,,INDUSTRY,INTERVENTIONAL,"UCLA, Los Angeles, California, 90095, United States|Lurie Children's Hospital, Chicago, Illinois, 60611, United States|University of Rochester, Rochester, New York, 14642, United States|University of Utah, Salt Lake City, Utah, 84112, United States"
NCT03167255,Extension Study of NS-065/NCNP-01 in Boys With Duchenne Muscular Dystrophy (DMD),https://clinicaltrials.gov/study/NCT03167255,COMPLETED,"This is an open-label, extension study of NS-065/NCNP-01 administered intravenously once weekly for an additional 192 weeks to boys with DMD who complete Study NS-065/NCNP-01-201.",Duchenne Muscular Dystrophy,DRUG: NS-065/NCNP-01,"NS Pharma, Inc.","Nippon Shinyaku Co., Ltd.|Cooperative International Neuromuscular Research Group|Therapeutic Research in Neuromuscular Disorders Solutions",INDUSTRY,INTERVENTIONAL,"UC Davis, Sacramento, California, 95817, United States|Lurie Children's Hospital, Chicago, Illinois, 60611, United States|Washington University, Saint Louis, Missouri, 63110, United States|Duke University Medical Center, Durham, North Carolina, 27710, United States|Children's Hospital of Richmond at VCU, Richmond, Virginia, 23298, United States|Alberta Children's Hospital, Calgary, Alberta, Canada"
NCT03330197,A Study of Ad-RTS-hIL-12 + Veledimex in Pediatric Subjects With Brain Tumors Including DIPG,https://clinicaltrials.gov/study/NCT03330197,TERMINATED,"This research study involves an investigational product: Ad-RTS-hIL-12 given with veledimex for production of human IL-12. IL-12 is a protein that can improve the body's natural response to disease by enhancing the ability of the immune system to kill tumor cells and may interfere with blood flow to the tumor.

The main purpose of this study is to evaluate the safety and tolerability of a single tumor injection of Ad-RTS-hIL-12 given with oral veledimex in the pediatric population.",Pediatric Brain Tumor|Diffuse Intrinsic Pontine Glioma,BIOLOGICAL: Ad-RTS-hIL-12|DRUG: Oral Veledimex - Arm 1 (Pediatric Brain Tumor)|DRUG: Oral Veledimex - Arm 2 (DIPG),Alaunos Therapeutics,,INDUSTRY,INTERVENTIONAL,"University of California San Francisco, Benioff Children's Hospital, San Francisco, California, 94158, United States|Lurie Children's Hospital of Chicago, Chicago, Illinois, 60611, United States|Dana- Farber Cancer Institute, Boston, Massachusetts, 02215, United States"
NCT00634231,A Phase I Study of AdV-tk + Prodrug Therapy in Combination With Radiation Therapy for Pediatric Brain Tumors,https://clinicaltrials.gov/study/NCT00634231,COMPLETED,"This study will evaluate the administration of AdV-tk followed by valacyclovir in children with malignant glioma, including glioblastoma multiforme (GBM) and anaplastic astrocytoma (AA), as well as recurrent ependymomas in combination with radiation therapy. The primary objective is to determine if this approach is safe and can be effectively delivered without disturbing standard therapy.",Malignant Glioma|Recurrent Ependymoma,BIOLOGICAL: AdV-tk|DRUG: valacyclovir|RADIATION: Radiation,"Candel Therapeutics, Inc.",Boston Children's Hospital,INDUSTRY,INTERVENTIONAL,"Ann & Robert H. Lurie Children's Hospital of Chicago (Formerly Children's Memorial Hospital), Chicago, Illinois, 60611, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, 02115, United States"
NCT03633526,Evaluation of VX-659/TEZ/IVA in Cystic Fibrosis Subjects 6 Through 11 Years of Age,https://clinicaltrials.gov/study/NCT03633526,TERMINATED,"This study will evaluate the pharmacokinetics (PK), safety, tolerability, efficacy, and pharmacodynamic effect of VX-659, tezacaftor (TEZ), and ivacaftor (IVA) when dosed in triple combination (TC) in Cystic Fibrosis (CF) subjects with F/F or F/MF genotypes.

The study was discontinued after completion of Part A due to Sponsor's discretion.",Cystic Fibrosis,DRUG: VX-659/TEZ/IVA|DRUG: IVA,Vertex Pharmaceuticals Incorporated,,INDUSTRY,INTERVENTIONAL,"Children's Hospital Colorado, Aurora, Colorado, 80045, United States|Ann & Robert Lurie Children's Hospital of Chicago, Chicago, Illinois, 60611, United States|The Children's Mercy Hospital, Kansas City, Missouri, 64108, United States|Clinical Research of Charlotte, Charlotte, North Carolina, 28277, United States|Oregon Health & Science University, Portland, Oregon, 97239, United States|Texas Children's Hospital, Houston, Texas, 77030, United States"
NCT03355794,A Study of Ribociclib and Everolimus Following Radiation Therapy in Children With Newly Diagnosed Non-biopsied Diffuse Pontine Gliomas (DIPG) and RB+ Biopsied DIPG and High Grade Gliomas (HGG),https://clinicaltrials.gov/study/NCT03355794,COMPLETED,"In this research study, we want to learn about the safety of the study drugs, ribociclib and everolimus, when given together at different doses after radiation therapy. We also want to learn about the effects, if any, these drugs have on children and young adults with brain tumors.

We are asking people to be in this research study who have been diagnosed with a high grade glioma, their tumor has been screened for the Rb1 protein, and they have recently finished radiation therapy. If a patient has DIPG or a Bi-thalamic high grade glioma, they do not need to have the tumor tissue screened for the Rb1 protein, but do need to have finished radiation therapy.

Tumor cells grow and divide quickly. In normal cells, there are proteins that control how fast cells grow but in cancer cells these proteins no longer work correctly making tumor cells grow quickly. Both study drugs work in different ways to slow down the growth of tumor cells. The researchers think that if the study drugs are given together soon after radiation therapy, it may help improve the effect of the radiation in stopping or slowing down tumor growth.

The study drugs, ribociclib and everolimus, have been approved by the United States Food and Drug Administration (FDA). Ribociclib is approved to treat adults with breast cancer and everolimus is approved for use in adults and children who have other types of cancers. The combination of ribociclib and everolimus has not been tested in children or in people with brain tumors and is considered investigational.

The goals of this study are:

* Find the safest dose of ribociclib and everolimus that can be given together after radiation.
* Learn the side effects (both good and bad) the study drugs have on the body and tumor.
* Measure the levels of study drug in the blood over time.
* Study the changes in the endocrine system that may be caused by the tumor, surgery or radiation.",Diffuse Intrinsic Pontine Glioma|Malignant Glioma of Brain|High Grade Glioma|Bithalamic High Grade Glioma|Brainstem Glioma|Glioblastoma|Anaplastic Astrocytoma,DRUG: ribociclib|DRUG: Everolimus,"Children's Hospital Medical Center, Cincinnati",Novartis,OTHER,INTERVENTIONAL,"Children's National Medical Center, Washington, District of Columbia, 20010, United States|Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, 60611, United States|Levine Cancer Institute, Charlotte, North Carolina, 28204, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, 45229, United States|Nationwide Children's Hospital, Columbus, Ohio, 43205, United States|Texas Children's Hospital, Houston, Texas, 77030, United States|Seattle Children's Hospital, Seattle, Washington, 98105, United States"
NCT02251600,A Pharmacokinetic Study of Oral Deflazacort in Children and Adolescent Subjects With Duchenne Muscular Dystrophy,https://clinicaltrials.gov/study/NCT02251600,COMPLETED,Study to characterize the single-state and steady-state dosing of oral deflazacort in pediatric and adolescents subjects.,Duchenne Muscular Dystrophy,DRUG: Deflazacort,PTC Therapeutics,,INDUSTRY,INTERVENTIONAL,"UCLA, Los Angeles, California, 90095, United States|Lurie Children's Hospital, Chicago, Illinois, 60611, United States|University of Rochester Medical Center, Rochester, New York, 14642, United States|University of Utah, Salt Lake City, Utah, 84112, United States"
NCT06794541,A Study to Evaluate the Safety and Tolerability of Eravacycline in Pediatric Patients Aged 8 to 17 With Complicated Intra-abdominal Infections (cIAI),https://clinicaltrials.gov/study/NCT06794541,RECRUITING,"A Phase 2 trial to assess safety, tolerability, and pharmacokinetics of eravacycline in pediatric patients aged 8 to \<18 years with cIAI.",Complicated Intra-abdominal Infections (cIAI),DRUG: Eravacycline 2mg/kg|DRUG: Eravacycline 1.5mg/kg,Innoviva Specialty Therapeutics,"Tetraphase Pharmaceuticals, Inc.",INDUSTRY,INTERVENTIONAL,"Children's Hospital of Orange County, Orange, California, 92868, United States|Ann and Robert H Lurie Children's Hospital of Chicago, Chicago, Illinois, 60611, United States|Children's Hospital of LSU Health Sciences Center Shreveport, Shreveport, Louisiana, 71101, United States|West Virginia University Medicine Children's Hospital, Morgantown, West Virginia, 26506, United States"
NCT06255028,A Study of CNTY-101 in Participants With Refractory B Cell-mediated Autoimmune Diseases,https://clinicaltrials.gov/study/NCT06255028,RECRUITING,"CALiPSO-1 is a Phase 1, multi-centre, dose-confirmation study to evaluate the safety and efficacy of CNTY-101 in participants with refractory B cell-mediated autoimmune diseases including those with moderate to severe systemic lupus erythematosus (SLE) with or without lupus nephritis (LN), idiopathic inflammatory myopathies (IIM), and diffuse cutaneous systemic sclerosis (DcSSc).",Systemic Lupus Erythematosus|Lupus Nephritis|Idiopathic Inflammatory Myopathies|Diffuse Cutaneous Systemic Sclerosis,BIOLOGICAL: CNTY-101|BIOLOGICAL: IL-2|DRUG: Lymphodepleting Chemotherapy,"Century Therapeutics, Inc.",,INDUSTRY,INTERVENTIONAL,"Keck School of Medicine of University of Southern California, Los Angeles, California, 90033, United States|UC Davis, Sacramento, California, 957817, United States|Lurie Children's; Northwestern Medicine - Northwestern Medical Group, Chicago, Illinois, 60611, United States|Texas Children's Hospital, Houston, Texas, 77030, United States|Primary Children's Hospital, Salt Lake City, Utah, 84113, United States|Fred Hutch, Seattle, Washington, 98109, United States"
NCT02740972,Safety and Dose Finding Study of NS-065/NCNP-01 in Boys With Duchenne Muscular Dystrophy (DMD),https://clinicaltrials.gov/study/NCT02740972,COMPLETED,"The main objective of this study is to evaluate the safety of a high (80mg/kg) and low (40mg/kg) dose of NS-065/NCNP-01 delivered as an intravenous infusion in patients with Duchenne Muscular Dystrophy (DMD) amendable to exon 53 skipping. Additional objectives include tolerability, muscle function and strength, pharmacokinetics and pharmacodynamics.",Duchenne Muscular Dystrophy,DRUG: NS-065/NCNP-01|DRUG: Placebo,"NS Pharma, Inc.","Nippon Shinyaku Co., Ltd.|Cooperative International Neuromuscular Research Group|Therapeutic Research in Neuromuscular Disorders Solutions",INDUSTRY,INTERVENTIONAL,"UC Davis, Sacramento, California, 95817, United States|University of Florida Health, Gainesville, Florida, United States|Lurie Children's Hospital, Chicago, Illinois, United States|Washington University, Saint Louis, Missouri, United States|Duke University Medical Center, Durham, North Carolina, United States|Children's Hospital of Richmond at VCU, Richmond, Virginia, United States|Alberta Children's Hospital, Calgary, Alberta, Canada"
NCT03381729,Study of Intrathecal Administration of Onasemnogene Abeparvovec-xioi for Spinal Muscular Atrophy,https://clinicaltrials.gov/study/NCT03381729,TERMINATED,The purpose of this trial is to evaluate the safety and tolerability of intrathecal administration of onasemnogene abeparvovec-xioi in infants and children with Spinal Muscular Atrophy with 3 copies of SMN2 and deletion of SMN1.,Spinal Muscular Atrophy,BIOLOGICAL: Onasemnogene Abeparvovec-xioi,Novartis Gene Therapies,,INDUSTRY,INTERVENTIONAL,"UCLA, Los Angeles, California, 90095, United States|Stanford University, Stanford, California, 94305, United States|Nemours Children's Hospital, Orlando, Florida, 32827, United States|Ann & Robert H. Lurie Children's Hospital, Chicago, Illinois, 60611, United States|Johns Hopkins, Baltimore, Maryland, 21287, United States|Boston Children's Hospital, Boston, Massachusetts, 02115, United States|Washington University, Saint Louis, Missouri, 63130, United States|Nationwide Children's Hospital, Columbus, Ohio, 43205, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, 19104, United States|UT Southwestern, Dallas, Texas, 75390, United States|University of Utah, Salt Lake City, Utah, 84112, United States"
NCT03389308,Long Term Open-label Study Evaluating Safety of Diacerein 1% Ointment Topical Formulation in Subjects With Epidermolysis Bullosa Simplex,https://clinicaltrials.gov/study/NCT03389308,COMPLETED,The primary objective of this study is to evaluate the long term safety and tolerability of diacerein 1% ointment for 2 treatment cycles in subjects with EBS that previously participated in the CCP-020-301 or the CCP-020-101 studies.,Epidermolysis Bullosa|Epidermolysis Bullosa Simplex,DRUG: diacerein 1% ointment,"Castle Creek Pharmaceuticals, LLC",,INDUSTRY,INTERVENTIONAL,"Ann and Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, 60611, United States|University of North Carolina (UNC) - Chapel Hill, Chapel Hill, North Carolina, 27516, United States|Children's Hospital of San Antonio, San Antonio, Texas, 78218, United States"
NCT02371226,Safety and Dose Ranging Study of Insulin Receptor MAb-IDUA Fusion Protein in Patients With MPS I,https://clinicaltrials.gov/study/NCT02371226,COMPLETED,"AGT-181 is a fusion protein containing alpha-L-Iduronidase that is intended to deliver the enzyme peripherally and to the brain, when administered intravenously. This study is a safety and dose ranging study to obtain safety and exposure data, as well as information on the biological activity of the investigational drug.",Mucopolysaccharidosis I,DRUG: AGT-181 (HIRMAb-IDUA),"ArmaGen, Inc",,INDUSTRY,INTERVENTIONAL,"Children's Hospital Oakland, Oakland, California, 94609, United States|Children's Hospital of Orange County, Orange, California, 92868, United States|Emory Healthcare, Decatur, Georgia, 30033, United States|Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, 60611, United States|Children's Hospital of Pittsburgh of UPMC, Pittsburgh, Pennsylvania, 15224, United States|University of Utah Hospital, Salt Lake City, Utah, 84132, United States"
NCT03340675,Oral Ifetroban in Subjects With Duchenne Muscular Dystrophy,https://clinicaltrials.gov/study/NCT03340675,ACTIVE_NOT_RECRUITING,"Duchenne muscular dystrophy (DMD) is a devastating X-linked disease which leads to loss of ambulation between ages 7 and 13, respiratory failure and cardiomyopathy (CM) at any age, and inevitably premature death of affected young men in their late twenties. DMD is the most common fatal genetic disorder diagnosed in childhood. It affects approximately 1 in every 3,500 live male births across all races and cultures, and results in 20,000 new cases each year worldwide.Significant advances in respiratory care have unmasked CM as the leading cause of death. As there are yet no specific cardiac treatments to extend life, the current study aims to address this unmet medical need using a new therapeutic strategy for patients with DMD.

Funding Source - FDA OOPD","Duchenne Muscular Dystrophy Cardiomyopathy|Cardiomyopathy, Dilated",DRUG: Ifetroban|DRUG: Placebo,Cumberland Pharmaceuticals,Vanderbilt University Medical Center,INDUSTRY,INTERVENTIONAL,"Arkansas Children's Hospital, Little Rock, Arkansas, 72202, United States|Mattel Children's Hospital, Los Angeles, California, 90095, United States|Children's National Hospital, Washington, District of Columbia, 20010, United States|Children's Healthcare of Atlanta, Atlanta, Georgia, 30341, United States|Lurie Children's Hospital, Chicago, Illinois, 60611, United States|Riley Children's Hospital, Indianapolis, Indiana, 46202, United States|Kennedy Krieger Institute, Baltimore, Maryland, 21205, United States|Saint. Louis Children's Hospital, Saint Louis, Missouri, 63110, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, 45229, United States|Monroe Carrell Jr. Children's Hospital at Vanderbilt, Nashville, Tennessee, 37232, United States"
NCT01523977,Everolimus With Multiagent Re-Induction Chemotherapy in Pediatric Patients With ALL,https://clinicaltrials.gov/study/NCT01523977,COMPLETED,"Laboratory and other studies suggest that, the study drug, Everolimus (RAD001), may prevent tumor cell growth and also may increase the efficacy of other chemotherapy drugs. Everolimus is approved for use in the United States for certain types of cancer, such as kidney cancer. It has been extensively studied in people with various types of cancer as a single agent (a drug that is used alone to treat the cancer) or in combination with a number of other drugs. Studies in adults with cancer have also evaluated Everolimus in combination with other anti-tumor drugs. Information from lab studies and some other clinical trials suggests that Everolimus may kill leukemia cells on its own, and also make it more likely that steroids (such as prednisone) are able to kill leukemia cells.

In this research study, we are looking to learn more about how Everolimus works in combination with other drugs which are commonly used to treat relapsed acute lymphoblastic leukemia (prednisone, vincristine, PEG-asparaginase, and doxorubicin). The main goal of the study is to evaluate the side effects of this treatment combination in order to determine a safe dose of Everolimus which can be given with these other 4 drugs.",Acute Lymphoblastic Leukemia,DRUG: Everolimus|DRUG: Prednisone|DRUG: Vincristine|DRUG: PEG-Asparaginase|DRUG: Doxorubicin|DRUG: Dexrazoxane,Dana-Farber Cancer Institute,Novartis,OTHER,INTERVENTIONAL,"UCSF, San Francisco, California, 94143, United States|Children's Hospital Colorado, Aurora, Colorado, 80045, United States|Children's Healthcare of Atlanta, Atlanta, Georgia, 30322, United States|Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, 60611, United States|Boston Children's Hospital, Boston, Massachusetts, 02115, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, 02215, United States|Columbia University Medical Center, New York, New York, 12549, United States|Seattle Children's Hospital, Seattle, Washington, 98105, United States"
NCT02338050,"Moxetumomab Pasudotox (CAT-8015, HA22) in Children With B-lineage Acute Lymphoblastic Leukemia and Minimal Residual Disease Prior to Allogeneic Hematopoietic Stem Cell Transplantation",https://clinicaltrials.gov/study/NCT02338050,TERMINATED,"This is a phase II, open-label, nonrandomized, prospective study to evaluate the activity, safety, and feasibility of administration of moxetumomab pasudotox in the pre-allogeneic hematopoietic cell transplantation (HCT) setting to patients with B-lineage Acute Lymphoblastic Leukemia (ALL) who are in a morphologic complete remission and have pre-transplant minimal residual disease (MRD) \> 0.01% (detected by flow cytometry). The primary objective of this study is to determine if treatment with moxetumomab pasudotox in the MRD positive setting is able to lead to MRD negativity (\< 0.01% by flow cytometry) or at least a 1-log10 reduction in MRD prior to allogeneic HCT.",Acute Lymphoblastic Leukemia (ALL),BIOLOGICAL: Moxetumomab Pasudotox,Center for International Blood and Marrow Transplant Research,National Marrow Donor Program|Pediatric Blood and Marrow Transplant Consortium|MedImmune LLC|St. Baldrick's Foundation,NETWORK,INTERVENTIONAL,"Childrens Hospital of Los Angeles, Los Angeles, California, 90027, United States|University of California San Francisco, San Francisco, California, 94143, United States|Children's Hospital Colorado, Aurora, Colorado, 80045, United States|Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, 60611, United States"
